Slope_Angle,Cohesion,Friction_Angle,Nail_Inclination,Nail_Length,Drillhole_Diameter,Factor_of_Safety
30,5,25,15,12,200,2.197
30,5,25,15,15,125,2.370
30,5,25,15,15,150,2.370
30,5,25,15,15,175,2.370
30,5,25,15,15,200,2.370
30,5,25,20,6,125,1.657
30,5,25,20,6,150,1.661
30,5,25,20,6,175,1.665
30,5,25,20,6,200,1.668
30,5,25,20,9,125,2.002
30,5,25,20,9,150,2.013
30,5,25,20,9,175,2.024
30,5,25,20,9,200,2.033
30,5,25,20,12,125,2.248
30,5,25,20,12,150,2.248
30,5,25,20,12,175,2.248
30,5,25,20,12,200,2.248
30,5,25,20,15,125,2.436
30,5,25,20,15,150,2.436
30,5,25,20,15,175,2.436
30,5,25,20,15,200,2.436
30,5,35,5,6,125,2.056
30,5,35,5,6,150,2.057
30,5,35,5,6,175,2.058
30,5,35,5,6,200,2.060
30,5,35,5,9,125,2.411
30,5,35,5,9,150,2.411
30,5,35,5,9,175,2.411
30,5,35,5,9,200,2.411
30,5,35,5,12,125,2.575
30,5,35,5,12,150,2.575
30,5,35,5,12,175,2.575
30,5,35,5,12,200,2.575
30,5,35,5,15,125,2.732
30,5,35,5,15,150,2.732
30,5,35,5,15,175,2.732
30,5,35,5,15,200,2.732
30,5,35,10,6,125,2.149
30,5,35,10,6,150,2.152
30,5,35,10,6,175,2.154
30,5,35,10,6,200,2.156
30,5,35,10,9,125,2.475
30,5,35,10,9,150,2.475
30,5,35,10,9,175,2.475
30,5,35,10,9,200,2.475
30,5,35,10,12,125,2.657
30,5,35,10,12,150,2.657
30,5,35,10,12,175,2.657
30,5,35,10,12,200,2.657
30,5,35,10,15,125,2.828
30,5,35,10,15,150,2.828
30,5,35,10,15,175,2.828
30,5,35,10,15,200,2.828
30,5,35,15,6,125,2.24
30,5,35,15,6,150,2.245
30,5,35,15,6,175,2.249
30,5,35,15,6,200,2.253
30,5,35,15,9,125,2.532
30,5,35,15,9,150,2.532
30,5,35,15,9,175,2.532
30,5,35,15,9,200,2.532
30,5,35,15,12,125,2.730
30,5,35,15,12,150,2.730
30,5,35,15,12,175,2.730
30,5,35,15,12,200,2.730
30,5,35,15,15,125,2.914
30,5,35,15,15,150,2.914
30,5,35,15,15,175,2.914
30,5,35,15,15,200,2.914
30,5,35,20,6,125,2.340
30,5,35,20,6,150,2.346
30,5,35,20,6,175,2.351
30,5,35,20,6,200,2.354
30,5,35,20,9,125,2.579
30,5,35,20,9,150,2.579
30,5,35,20,9,175,2.579
30,5,35,20,9,200,2.579
30,5,35,20,12,125,2.787
30,5,35,20,12,150,2.787
30,5,35,20,12,175,2.787
30,5,35,20,12,200,2.787
30,5,35,20,15,125,2.985
30,5,35,20,15,150,2.985
30,5,35,20,15,175,2.985
30,5,35,20,15,200,2.985
30,5,45,5,6,125,2.796
30,5,45,5,6,150,2.798
30,5,45,5,6,175,2.799
30,5,45,5,6,200,2.800
30,5,45,5,9,125,2.977
30,5,45,5,9,150,2.977
30,5,45,5,9,175,2.977
30,5,45,5,9,200,2.977
30,5,45,5,12,125,3.148
30,5,45,5,12,150,3.148
30,5,45,5,12,175,3.148
30,5,45,5,12,200,3.148
30,5,45,5,15,125,3.302
30,5,45,5,15,150,3.302
30,5,45,5,15,175,3.302
30,5,45,5,15,200,3.302
30,5,45,10,6,125,2.851
30,5,45,10,6,150,2.851
30,5,45,10,6,175,2.851
30,5,45,10,6,200,2.851
30,5,45,10,9,125,3.041
30,5,45,10,9,150,3.041
30,5,45,10,9,175,3.041
30,5,45,10,9,200,3.041
30,5,45,10,12,125,3.228
30,5,45,10,12,150,3.228
30,5,45,10,12,175,3.228
30,5,45,10,12,200,3.228
30,5,45,10,15,125,3.396
30,5,45,10,15,150,3.396
30,5,45,10,15,175,3.396
30,5,45,10,15,200,3.396
30,5,45,15,6,125,2.888
30,5,45,15,6,150,2.888
30,5,45,15,6,175,2.888
30,5,45,15,6,200,2.888
30,5,45,15,9,125,3.097
30,5,45,15,9,150,3.097
30,5,45,15,9,175,3.097
30,5,45,15,9,200,3.097
30,5,45,15,12,125,3.299
30,5,45,15,12,150,3.299
30,5,45,15,12,175,3.299
30,5,45,15,12,200,3.299
30,5,45,15,15,125,3.479
30,5,45,15,15,150,3.479
30,5,45,15,15,175,3.479
30,5,45,15,15,200,3.479
30,5,45,20,6,125,2.918
30,5,45,20,6,150,2.918
30,5,45,20,6,175,2.918
30,5,45,20,6,200,2.918
30,5,45,20,9,125,3.144
30,5,45,20,9,150,3.144
30,5,45,20,9,175,3.144
30,5,45,20,9,200,3.144
30,5,45,20,12,125,3.354
30,5,45,20,12,150,3.354
30,5,45,20,12,175,3.354
30,5,45,20,12,200,3.354
30,5,45,20,15,125,3.548
30,5,45,20,15,150,3.548
30,5,45,20,15,175,3.548
30,5,45,20,15,200,3.548
30,10,5,5,6,125,0.826
30,10,5,5,6,150,0.826
30,10,5,5,6,175,0.826
30,10,5,5,6,200,0.826
30,10,5,5,9,125,0.829
30,10,5,5,9,150,0.829
30,10,5,5,9,175,0.829
30,10,5,5,9,200,0.829
30,10,5,5,12,125,0.878
30,10,5,5,12,150,0.882
30,10,5,5,12,175,0.887
30,10,5,5,12,200,0.889
30,10,5,5,15,125,0.992
30,10,5,5,15,150,1.012
30,10,5,5,15,175,1.031
30,10,5,5,15,200,1.046
30,10,5,10,6,125,0.826
30,10,5,10,6,150,0.826
30,10,5,10,6,175,0.826
30,10,5,10,6,200,0.826
30,10,5,10,9,125,0.833
30,10,5,10,9,150,0.834
30,10,5,10,9,175,0.834
30,10,5,10,9,200,0.834
30,10,5,10,12,125,0.905
30,10,5,10,12,150,0.911
30,10,5,10,12,175,0.916
30,10,5,10,12,200,0.919
30,10,5,10,15,125,1.021
30,10,5,10,15,150,1.047
30,10,5,10,15,175,1.068
30,10,5,10,15,200,1.089
30,10,5,15,6,125,0.826
30,10,5,15,6,150,0.826
30,10,5,15,6,175,0.826
30,10,5,15,6,200,0.826
30,10,5,15,9,125,0.840
30,10,5,15,9,150,0.840
30,10,5,15,9,175,0.840
30,10,5,15,9,200,0.840
30,10,5,15,12,125,0.933
30,10,5,15,12,150,0.939
30,10,5,15,12,175,0.945
30,10,5,15,12,200,0.951
30,10,5,15,15,125,1.050
30,10,5,15,15,150,1.078
30,10,5,15,15,175,1.105
30,10,5,15,15,200,1.133
30,10,5,20,6,125,0.829
30,10,5,20,6,150,0.829
30,10,5,20,6,175,0.829
30,10,5,20,6,200,0.829
30,10,5,20,9,125,0.853
30,10,5,20,9,150,0.853
30,10,5,20,9,175,0.853
30,10,5,20,9,200,0.853
30,10,5,20,12,125,0.957
30,10,5,20,12,150,0.967
30,10,5,20,12,175,0.977
30,10,5,20,12,200,0.985
30,10,5,20,15,125,1.077
30,10,5,20,15,150,1.109
30,10,5,20,15,175,1.143
30,10,5,20,15,200,1.179
30,10,15,5,6,125,1.306
30,10,15,5,6,150,1.306
30,10,15,5,6,175,1.306
30,10,15,5,6,200,1.306
30,10,15,5,9,125,1.391
30,10,15,5,9,150,1.393
30,10,15,5,9,175,1.396
30,10,15,5,9,200,1.398
30,10,15,5,12,125,1.585
30,10,15,5,12,150,1.595
30,10,15,5,12,175,1.604
30,10,15,5,12,200,1.614
30,10,15,5,15,125,1.851
30,10,15,5,15,150,1.904
30,10,15,5,15,175,1.939
30,10,15,5,15,200,1.951
30,10,15,10,6,125,1.321
30,10,15,10,6,150,1.321
30,10,15,10,6,175,1.321
30,10,15,10,6,200,1.321
